County,anglo,anglovap,asian,asianvap,bh,bhvap,black,blackvap,hisp,hispvap,nanglo,nanglovap,vap,votes_dem,votes_rep,votes_total,college_enroll,bachelors_up_total_sum,20_trump,20_biden,aggregateincome,20_total,total,households,anglovap_pct,asianvap_pct,hispvap_pct,blackvap_pct,college_enroll_pct,bachelors_up_total_sum_pct,pct_dem_lead,pct_dem_lead_20,avg_hh_income,swing_2024
ANDERSON,33098.0,27667.0,543.0,396.0,23107.0,18374.0,12253.0,10146.0,11111.0,8350.0,24824.0,19714.0,47381.0,3635,15597,19381,2122.0,6292.0,15110.0,3955.0,1327161500.0,19227.0,57922.0,17142.0,0.5839260463054811,0.008357780544944175,0.176230978662333,0.21413646820455456,0.04478588463730187,0.13279584643633524,-0.6172024147360817,-0.5801737140479534,77421.62524792906,-0.03702870068812836
ANDREWS,7405.0,5636.0,153.0,99.0,10683.0,6942.0,376.0,247.0,10400.0,6731.0,11205.0,7312.0,12948.0,806,5205,6059,957.0,2323.0,4943.0,850.0,694777700.0,5863.0,18610.0,6780.0,0.4352795798578931,0.007645968489341983,0.5198486252703121,0.019076305220883535,0.07391102873030583,0.17940994748223663,-0.726027397260274,-0.698106771277503,102474.58702064896,-0.027920625982771008
ANGELINA,57657.0,46166.0,1277.0,929.0,35808.0,24186.0,15182.0,10668.0,21052.0,13677.0,39235.0,26795.0,72961.0,8146,26049,34476,3621.0,10625.0,25076.0,9143.0,2432078100.0,34635.0,96892.0,32183.0,0.632749002891956,0.012732829868011677,0.18745631227642165,0.14621510121845918,0.049629253985005686,0.14562574526116692,-0.5192887806009978,-0.4600259852750109,75570.27312556318,-0.05926279532598694
ARANSAS,24652.0,21750.0,962.0,724.0,9193.0,6562.0,555.0,354.0,8731.0,6249.0,11494.0,8460.0,30210.0,2831,10090,13031,823.0,5528.0,9239.0,2916.0,1024633000.0,12290.0,36146.0,11738.0,0.7199602780536246,0.023965574313141343,0.20685203574975175,0.011717974180734857,0.027242634889109565,0.1829857663025488,-0.5570562504796255,-0.5144833197721725,87291.95774407906,-0.04257293070745294
ARCHER,7356.0,5811.0,74.0,48.0,831.0,528.0,106.0,64.0,742.0,474.0,1204.0,801.0,6612.0,520,4592,5132,288.0,1548.0,4300.0,446.0,338540600.0,4796.0,8560.0,3439.0,0.8788566243194192,0.007259528130671506,0.07168784029038112,0.009679370840895343,0.043557168784029036,0.23411978221415608,-0.7934528448947779,-0.8035863219349458,98441.58185519047,0.010133477040167982
ARMSTRONG,1593.0,1258.0,28.0,19.0,162.0,94.0,34.0,17.0,144.0,85.0,255.0,169.0,1427.0,77,1029,1114,125.0,285.0,1035.0,75.0,62643300.0,1112.0,1848.0,754.0,0.8815697266993693,0.013314646110721794,0.05956552207428171,0.011913104414856343,0.08759635599159075,0.1997196916608269,-0.8545780969479354,-0.8633093525179856,83081.29973474801,0.008731255570050167
ATASCOSA,16066.0,12906.0,396.0,268.0,31684.0,22137.0,736.0,462.0,31178.0,21784.0,32915.0,23077.0,35983.0,5153,13142,18468,1455.0,5027.0,12039.0,5876.0,1389578300.0,18132.0,48981.0,16635.0,0.35866937164772256,0.007447961537392658,0.6053969930244838,0.012839396381624657,0.04043576133173999,0.1397048606286302,-0.4325860948667966,-0.33989631590558134,83533.41148181545,-0.09268977896121527
AUSTIN,18480.0,15123.0,304.0,218.0,10630.0,7231.0,2791.0,1949.0,8052.0,5357.0,11687.0,8034.0,23157.0,2816,12457,15415,654.0,5164.0,11447.0,2951.0,1169407800.0,14554.0,30167.0,12174.0,0.6530638683767327,0.009414000086366973,0.2313339379021462,0.08416461545105151,0.02824200025910092,0.22299952498164702,-0.6254297761920207,-0.5837570427373918,96057.81172991621,-0.04167273345462885
BAILEY,2449.0,1984.0,27.0,13.0,6063.0,3942.0,123.0,54.0,5980.0,3897.0,6202.0,4034.0,6018.0,332,1395,1740,147.0,707.0,1434.0,409.0,179201200.0,1860.0,8651.0,2250.0,0.32967763376537057,0.002160186108341642,0.6475573280159521,0.00897308075772682,0.024426719840478565,0.11748089066134929,-0.610919540229885,-0.5510752688172044,79644.97777777778,-0.05984427141268067
BANDERA,15595.0,13395.0,219.0,158.0,4247.0,3114.0,270.0,181.0,4010.0,2948.0,5256.0,3954.0,17349.0,2532,10939,13600,780.0,4295.0,10056.386176284084,2504.7945466074825,820989376.5017668,12714.172479391249,20851.0,8942.406360424027,0.7720906104098219,0.009107153150037467,0.1699233385209522,0.010432877975675832,0.044959363652083695,0.24756470113551213,-0.6181617647058824,-0.5939506988690915,91808.5516819253,-0.02421106583679089
BASTROP,45751.0,38286.0,1287.0,871.0,47762.0,31839.0,6873.0,4966.0,41484.0,27108.0,51465.0,34741.0,73027.0,15989,23301,39917,3390.0,16337.0,20510.430438842202,15467.45471521942,3457808936.3349133,36749.577030812325,97216.0,35153.49921011059,0.5242718446601942,0.011927095457844358,0.37120517069029263,0.06800224574472455,0.04642118668437701,0.22371177783559507,-0.18318009870481244,-0.13722540859162946,98363.15058332526,-0.04595469011318298
BAYLOR,2797.0,2212.0,22.0,6.0,534.0,329.0,113.0,59.0,439.0,275.0,668.0,424.0,2636.0,183,1469,1672,64.0,736.0,1494.0,183.0,95441200.0,1702.0,3465.0,1548.0,0.8391502276176024,0.002276176024279211,0.1043247344461305,0.022382397572078907,0.024279210925644917,0.27921092564491656,-0.7691387559808612,-0.7702702702702703,61654.52196382429,0.0011315142894090524
BEE,8600.0,7344.0,307.0,264.0,21804.0,17161.0,2558.0,2303.0,19392.0,14920.0,22447.0,17678.0,25022.0,2606,6111,8790,1953.0,2866.0,6006.0,3288.0,615592000.0,9420.0,31047.0,8581.0,0.2935017184877308,0.010550715370473984,0.5962752777555751,0.09203900567500599,0.07805131484293822,0.11453920549916073,-0.3987485779294653,-0.28853503184713375,71738.95816338422,-0.11021354608233153
BELL,156780.0,126124.0,18271.0,12891.0,184933.0,124418.0,100605.0,67479.0,93467.0,61176.0,213867.0,146039.0,272163.0,53973,75161,131013,27826.0,66361.0,67893.0,57014.0,12175383296.538752,127690.0,370647.0,138556.01053423627,0.46341346913430553,0.04736499818123698,0.22477706374488818,0.2479359795416717,0.10224020164386782,0.2438281471030228,-0.16172440902811164,-0.08519852768423525,87873.36795851449,-0.07652588134387639
BEXAR,535694.0,446118.0,94556.0,67947.0,1358677.0,978680.0,196163.0,137805.0,1190889.0,854006.0,1473490.0,1066171.0,1512289.0,409754,336638,754979,140895.0,437504.0,306012.39070143114,445232.00504621305,70007076306.41359,763214.8351648566,2009184.0,734224.6742930714,0.2949952026365331,0.04492990427094292,0.5647108456121813,0.09112345590029419,0.09316671615015384,0.28929920140925447,0.09684507781011126,0.1824120914980774,95348.30244409593,-0.08556701368796615
BLANCO,8707.0,7461.0,100.0,72.0,2196.0,1598.0,123.0,98.0,2092.0,1514.0,2667.0,1960.0,9421.0,1973,6447,8546,314.0,3264.0,5434.096163682864,1907.8613810741688,551914466.2198391,7446.811253196931,11374.0,4994.829490616622,0.7919541449952234,0.007642500796093833,0.1607048084067509,0.010402292750238828,0.03332979513852033,0.3464600360895871,-0.5235197753334894,-0.4735227821297171,110497.15856300514,-0.049996993203772266
BORDEN,674.0,526.0,16.0,5.0,110.0,62.0,19.0,6.0,99.0,59.0,120.0,63.0,589.0,16,370,387,4.0,159.0,397.0,16.0,25739200.0,416.0,794.0,239.0,0.8930390492359932,0.008488964346349746,0.100169779286927,0.010186757215619695,0.006791171477079796,0.2699490662139219,-0.9147286821705426,-0.9158653846153847,107695.39748953976,0.001136702444842097
