GISJOIN,YEAR,STUSAB,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,UAA,URA,CD116A,SLDU18A,SLDL18A,VTD,VTDI,ZCTAA,SDELMA,SDSECA,SDUNIA,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,UGA,U7Q001,U7Q002,U7Q003,U7Q004,U7Q005,U7Q006,U7Q007,U7Q008,U7Q009,U7Q010,U7Q011,U7Q012,U7Q013,U7Q014,U7Q015,U7Q016,U7Q017,U7Q018,U7Q019,U7Q020,U7Q021,U7Q022,U7Q023,U7Q024,U7Q025,U7Q026,U7Q027,U7Q028,U7Q029,U7Q030,U7Q031,U7Q032,U7Q033,U7Q034,U7Q035,U7Q036,U7Q037,U7Q038,U7Q039,U7Q040,U7Q041,U7Q042,U7Q043,U7Q044,U7Q045,U7Q046,U7Q047,U7Q048,U7Q049,U7Q050,U7Q051,U7Q052,U7Q053,U7Q054,U7Q055,U7Q056,U7Q057,U7Q058,U7Q059,U7Q060,U7Q061,U7Q062,U7Q063,U7Q064,U7Q065,U7Q066,U7Q067,U7Q068,U7Q069,U7Q070,U7Q071
"G4800010","2020","TX","0500000US48001","48001","3","7","Texas","48","Anderson County","001",,,,,,,,,,,,,,,,,,"37300","2","999","99999",,,,,,,,,,,,,,,,,,,"2752164828","39845046","Anderson","Anderson County","A","+31.8412614","-095.6617267","06",,47381,45123,28789,9888,275,327,10,5834,2258,2174,157,583,46,14,1267,26,6,0,24,5,0,41,2,3,0,67,17,0,0,12,4,6,27,0,0,1,0,0,0,0,0,0,0,0,0,0,17,1,0,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4800030","2020","TX","0500000US48003","48003","3","7","Texas","48","Andrews County","003",,,,,,,,,,,,,,,,,,"11380","2","999","99999",,,,,,,,,,,,,,,,,,,"3886850259","957039","Andrews","Andrews County","A","+32.3122581","-102.6402058","06",,12948,10450,7768,183,174,81,0,2244,2498,2454,36,170,8,0,2203,1,1,0,6,3,0,23,3,0,0,42,10,0,4,3,0,1,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"G4800050","2020","TX","0500000US48005","48005","3","7","Texas","48","Angelina County","005",,,,,,,,,,,,,,,,,,"31260","2","999","99999",,,,,,,,,,,,,,,,,,,"2066460812","173300091","Angelina","Angelina County","A","+31.2518963","-094.6111337","06",,65058,59728,43155,9544,419,726,40,5844,5330,5191,273,926,87,10,3731,47,5,0,42,0,0,52,2,15,1,130,29,2,0,14,0,0,67,2,3,4,5,3,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1
"G4800070","2020","TX","0500000US48007","48007","3","7","Texas","48","Aransas County","007",,,,,,,,,,,,,,,,,,"40530","2","204","99999",,,,,,,,,,,,,,,,,,,"652856780","714538201","Aransas","Aransas County","A","+28.1226209","-096.9675012","06",,19816,17394,15372,197,189,401,17,1218,2422,2362,25,432,63,3,1793,7,1,0,5,2,0,14,12,5,0,55,7,0,0,4,2,0,34,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,2,2
"G4800090","2020","TX","0500000US48009","48009","3","7","Texas","48","Archer County","009",,,,,,,,,,,,,,,,,,"48660","1","999","99999",,,,,,,,,,,,,,,,,,,"2339508165","57767715","Archer","Archer County","A","+33.6163054","-098.6872669","06",,6612,6250,5929,27,75,17,0,202,362,341,23,136,11,0,159,0,4,0,1,0,0,4,2,1,0,15,2,0,0,1,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
"G4800110","2020","TX","0500000US48011","48011","3","7","Texas","48","Armstrong County","011",,,,,,,,,,,,,,,,,,"11100","1","108","99999",,,,,,,,,,,,,,,,,,,"2354617585","12183672","Armstrong","Armstrong County","A","+34.9641790","-101.3566363","06",,1427,1357,1290,10,17,9,0,31,70,63,1,31,2,1,24,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,0,0,0
"G4800130","2020","TX","0500000US48013","48013","3","7","Texas","48","Atascosa County","013",,,,,,,,,,,,,,,,,,"41700","1","484","99999",,,,,,,,,,,,,,,,,,,"3158596616","4995711","Atascosa","Atascosa County","A","+28.8914775","-098.5353810","06",,35983,27313,21223,306,406,151,15,5212,8670,8548,87,416,52,7,7888,10,6,1,15,0,0,33,10,22,1,117,6,7,0,16,4,0,67,5,9,0,0,1,1,0,0,1,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"G4800150","2020","TX","0500000US48015","48015","3","7","Texas","48","Austin County","015",,,,,,,,,,,,,,,,,,"26420","1","288","99999",,,,,,,,,,,,,,,,,,,"1674415880","25596214","Austin","Austin County","A","+29.8919013","-096.2701696","06",,23157,20508,16141,1813,190,165,8,2191,2649,2602,74,335,30,2,2061,16,4,0,25,1,8,44,0,2,0,41,7,0,0,3,1,0,18,0,6,0,0,0,0,0,1,0,0,0,0,5,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4800170","2020","TX","0500000US48017","48017","3","7","Texas","48","Bailey County","017",,,,,,,,,,,,,,,,,,"99999","9","999","99999",,,,,,,,,,,,,,,,,,,"2141847187","1775275","Bailey","Bailey County","A","+34.0675209","-102.8303446","06",,4838,3994,2499,39,48,9,0,1399,844,837,0,44,0,0,783,0,0,0,0,0,0,8,0,0,2,7,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4800190","2020","TX","0500000US48019","48019","3","7","Texas","48","Bandera County","019",,,,,,,,,,,,,,,,,,"41700","1","484","99999",,,,,,,,,,,,,,,,,,,"2048663887","17291422","Bandera","Bandera County","A","+29.7563890","-099.2482849","06",,17349,15450,14469,96,149,81,5,650,1899,1828,50,359,46,11,1331,9,0,0,5,0,0,9,8,0,0,65,13,0,0,1,0,0,34,5,6,0,2,0,0,0,0,0,0,0,0,4,6,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
