GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,NAME,BTTRA,BTBGA,TL_GEO_ID,ASP3E001,ASP3E002,ASP3E003,ASP3E004,ASP3E005,ASP3E006,ASP3E007,ASP3E008,ASP3E009,ASP3E010,ASP3E011,ASP3E012,ASP3E013,ASP3E014,ASP3E015,ASP3E016,ASP3E017,ASP3E018,ASP3E019,ASP3E020,ASP3E021,ASP3E022,ASP3E023,ASP3E024,ASP3E025,ASQQE001
"G4800010","2019-2023","TX",,,"Texas","48","Anderson County","001",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48001","Anderson County, Texas",,,"48001",41749,514,0,13,43,57,59,69,188,231,241,575,1108,980,1329,444,10637,5247,3443,6457,4045,4344,1292,230,203,1327161600
"G4800030","2019-2023","TX",,,"Texas","48","Andrews County","003",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48003","Andrews County, Texas",,,"48003",11099,674,0,44,20,0,19,20,1,339,60,122,379,222,253,414,2993,584,885,1106,750,1749,297,72,96,694777700
"G4800050","2019-2023","TX",,,"Texas","48","Angelina County","005",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48005","Angelina County, Texas",,,"48005",56893,1528,19,0,0,22,64,138,165,528,453,793,1075,941,1598,1279,15613,3770,4578,8992,5089,6400,3142,447,259,2432078100
"G4800070","2019-2023","TX",,,"Texas","48","Aransas County","007",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48007","Aransas County, Texas",,,"48007",19209,165,36,0,0,0,24,0,0,43,62,315,331,150,310,207,4706,1446,1858,2821,1428,3812,1145,256,94,1024633100
"G4800090","2019-2023","TX",,,"Texas","48","Archer County","009",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48009","Archer County, Texas",,,"48009",6121,31,0,0,20,4,11,0,5,8,7,49,69,129,82,136,1971,283,382,859,534,1084,306,76,75,338540500
"G4800110","2019-2023","TX",,,"Texas","48","Armstrong County","011",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48011","Armstrong County, Texas",,,"48011",1289,3,0,0,0,0,0,0,6,9,3,27,0,0,26,3,416,27,82,238,173,164,84,19,9,62643300
"G4800130","2019-2023","TX",,,"Texas","48","Atascosa County","013",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48013","Atascosa County, Texas",,,"48013",32188,862,6,0,0,12,169,129,132,435,536,356,1161,787,911,659,10816,1629,2544,4288,1842,3816,774,293,31,1389578300
"G4800150","2019-2023","TX",,,"Texas","48","Austin County","015",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48015","Austin County, Texas",,,"48015",21285,280,17,0,0,0,61,4,8,480,62,258,550,148,352,237,5946,1334,1685,3223,1655,3663,1043,147,132,1169407800
"G4800170","2019-2023","TX",,,"Texas","48","Bailey County","017",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48017","Bailey County, Texas",,,"48017",4110,291,0,0,0,0,0,22,73,41,38,47,265,8,277,91,987,190,102,808,182,501,101,83,3,179201200
"G4800190","2019-2023","TX",,,"Texas","48","Bandera County","019",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0500000US48019","Bandera County, Texas",,,"48019",16701,136,0,0,0,20,27,0,6,93,15,71,307,193,193,290,4171,877,1558,2697,1791,2681,1187,228,160,821016000
